Date,Open,High,Low,Close,SMAVG (200) on Close,SMAVG (50) on Close,SMAVG (100) on Close
26/10/2016 23:30,1266.72,1267.1,1266.52,1267.1,1267.66,1272.21,1270.07
26/10/2016 23:00,1266.82,1266.83,1266.39,1266.71,1267.66,1272.34,1270.04
26/10/2016 22:30,1266.81,1267.32,1266.64,1266.79,1267.66,1272.51,1270
26/10/2016 22:00,1266.62,1266.91,1266.24,1266.8,1267.66,1272.67,1269.97
26/10/2016 21:30,1266.57,1266.94,1266.4,1266.61,1267.66,1272.84,1269.93
26/10/2016 21:00,1266.85,1266.96,1266.29,1266.57,1267.68,1272.99,1269.9
26/10/2016 20:30,1266.42,1267.02,1266.42,1266.85,1267.71,1273.12,1269.86
26/10/2016 20:00,1266.57,1266.57,1264.79,1266.41,1267.73,1273.22,1269.82
26/10/2016 19:30,1267.92,1268.21,1265.89,1266.57,1267.75,1273.36,1269.78
26/10/2016 19:00,1267.9,1268.4,1267.5,1267.92,1267.77,1273.49,1269.74
26/10/2016 18:30,1268.94,1269.05,1267.07,1267.9,1267.79,1273.58,1269.69
26/10/2016 18:00,1268.95,1269.34,1268.06,1268.95,1267.8,1273.64,1269.67
26/10/2016 17:30,1268.79,1270.2,1267.09,1268.96,1267.8,1273.65,1269.7
26/10/2016 17:00,1272.31,1272.89,1268.14,1268.79,1267.81,1273.64,1269.72
26/10/2016 16:30,1272.72,1274.3,1271.35,1272.31,1267.81,1273.62,1269.69
26/10/2016 16:00,1271.33,1273.68,1271.04,1272.72,1267.79,1273.55,1269.62
26/10/2016 15:30,1271.59,1272.03,1271.05,1271.33,1267.77,1273.5,1269.54
26/10/2016 15:00,1272.36,1272.82,1270.86,1271.59,1267.76,1273.45,1269.48
26/10/2016 14:30,1270.74,1272.46,1270.74,1272.36,1267.75,1273.41,1269.42
26/10/2016 14:00,1271.58,1271.74,1270.27,1270.74,1267.74,1273.34,1269.36
26/10/2016 13:30,1272.15,1272.6,1269.97,1271.55,1267.74,1273.28,1269.31
26/10/2016 13:00,1274.86,1274.91,1271.8,1272.14,1267.73,1273.24,1269.26
26/10/2016 12:30,1274.08,1274.97,1273.89,1274.86,1267.72,1273.17,1269.19
26/10/2016 12:00,1273.93,1274.6,1273.39,1274.08,1267.71,1273.07,1269.1
26/10/2016 11:30,1274.07,1274.52,1273.25,1273.93,1267.7,1272.96,1269.02
26/10/2016 11:00,1275.18,1275.37,1274.05,1274.07,1267.69,1272.85,1268.95
26/10/2016 10:30,1275.75,1276.05,1275.16,1275.18,1267.68,1272.71,1268.86
26/10/2016 10:00,1274.85,1275.89,1274.76,1275.75,1267.67,1272.55,1268.76
26/10/2016 09:30,1274.41,1275.68,1274.2,1274.85,1267.65,1272.37,1268.66
26/10/2016 09:00,1273.5,1274.59,1273.27,1274.41,1267.64,1272.21,1268.56
26/10/2016 08:30,1275.1,1275.21,1273.38,1273.5,1267.61,1272.05,1268.45
26/10/2016 08:00,1275.39,1275.65,1275.02,1275.1,1267.59,1271.9,1268.36
26/10/2016 07:30,1275.77,1275.79,1274.81,1275.4,1267.57,1271.72,1268.24
26/10/2016 07:00,1275.1,1275.78,1274.22,1275.77,1267.54,1271.52,1268.11
26/10/2016 06:30,1275.34,1275.54,1275.07,1275.1,1267.51,1271.3,1267.99
26/10/2016 06:00,1275.93,1276.02,1275.18,1275.34,1267.49,1271.1,1267.88
26/10/2016 05:30,1275.45,1276.27,1275.39,1275.92,1267.46,1270.89,1267.76
26/10/2016 05:00,1274.76,1276.27,1274.66,1275.45,1267.43,1270.67,1267.67
26/10/2016 04:30,1274.88,1275.17,1274.14,1274.76,1267.4,1270.45,1267.58
26/10/2016 04:00,1275.51,1275.55,1274.26,1274.88,1267.37,1270.21,1267.5
26/10/2016 03:30,1274.07,1276.57,1274.07,1275.51,1267.34,1269.97,1267.41
26/10/2016 03:00,1274.55,1274.7,1273.55,1274.07,1267.31,1269.73,1267.32
26/10/2016 02:30,1274.69,1274.81,1274.26,1274.56,1267.28,1269.53,1267.24
26/10/2016 02:00,1274.32,1275.02,1274.24,1274.69,1267.25,1269.33,1267.16
26/10/2016 01:30,1274.96,1275.28,1274.1,1274.32,1267.22,1269.12,1267.08
26/10/2016 01:00,1273.97,1275.06,1273.18,1274.96,1267.19,1268.93,1267.01
26/10/2016 00:30,1273.95,1273.96,1273.92,1273.96,1267.16,1268.72,1266.93
26/10/2016 00:00,1274.08,1274.19,1274.08,1274.19,1267.14,1268.53,1266.87
25/10/2016 23:30,1274.21,1274.5,1273.55,1273.87,1267.12,1268.33,1266.8
25/10/2016 23:00,1273.65,1274.27,1273.57,1274.2,1267.1,1268.14,1266.73
25/10/2016 22:30,1275.07,1275.39,1273.61,1273.65,1267.09,1267.94,1266.66
25/10/2016 22:00,1275.17,1275.48,1274.8,1275.08,1267.07,1267.74,1266.59
25/10/2016 21:30,1275.3,1276.44,1274.89,1275.17,1267.04,1267.5,1266.48
25/10/2016 21:00,1273.91,1276.78,1273.72,1275.3,1267.02,1267.26,1266.37
25/10/2016 20:30,1272.89,1273.91,1272.74,1273.91,1266.99,1267.02,1266.29
25/10/2016 20:00,1272.13,1273.26,1272.12,1272.9,1266.97,1266.81,1266.21
25/10/2016 19:30,1273.23,1273.41,1271.7,1272.14,1266.97,1266.6,1266.13
25/10/2016 19:00,1273.08,1273.56,1272.44,1273.23,1266.96,1266.42,1266.07
25/10/2016 18:30,1272.45,1274.22,1272.11,1273.1,1266.94,1266.2,1266.01
25/10/2016 18:00,1271.17,1273.44,1271.08,1272.44,1266.92,1266,1265.95
25/10/2016 17:30,1269.32,1271.59,1269.1,1271.17,1266.91,1265.81,1265.89
25/10/2016 17:00,1268.36,1270.15,1268.31,1269.32,1266.91,1265.69,1265.85
25/10/2016 16:30,1267.95,1269.64,1267.38,1268.36,1266.89,1265.74,1265.81
25/10/2016 16:00,1268.51,1268.62,1267.05,1267.94,1266.87,1265.81,1265.79
25/10/2016 15:30,1270.15,1271.12,1268.04,1268.52,1266.85,1265.76,1265.76
25/10/2016 15:00,1268.98,1270.39,1268.16,1270.15,1266.82,1265.7,1265.72
25/10/2016 14:30,1269.61,1270.24,1268.77,1268.98,1266.78,1265.59,1265.66
25/10/2016 14:00,1268.77,1269.75,1268.69,1269.61,1266.74,1265.51,1265.61
25/10/2016 13:30,1268,1269.26,1268,1268.77,1266.7,1265.43,1265.56
25/10/2016 13:00,1269.45,1269.45,1267.99,1268,1266.67,1265.38,1265.5
25/10/2016 12:30,1268.85,1269.8,1268.75,1269.45,1266.63,1265.35,1265.46
25/10/2016 12:00,1269.53,1270.74,1268.59,1268.85,1266.59,1265.28,1265.4
25/10/2016 11:30,1268.56,1270.17,1268.55,1269.52,1266.55,1265.21,1265.35
25/10/2016 11:00,1268.46,1269.17,1267.87,1268.56,1266.52,1265.14,1265.29
25/10/2016 10:30,1267.43,1268.98,1267.23,1268.45,1266.49,1265.09,1265.24
25/10/2016 10:00,1266.96,1267.54,1266.84,1267.43,1266.47,1265.05,1265.18
25/10/2016 09:30,1266.76,1267.64,1266.55,1266.96,1266.45,1265.01,1265.13
25/10/2016 09:00,1266.95,1268.32,1266.38,1266.76,1266.43,1264.98,1265.09
25/10/2016 08:30,1266.06,1267.03,1265.65,1266.95,1266.42,1264.95,1265.04
25/10/2016 08:00,1266.48,1266.66,1266.04,1266.06,1266.4,1264.91,1265
25/10/2016 07:30,1265.68,1266.6,1265.59,1266.47,1266.38,1264.86,1264.98
25/10/2016 07:00,1265.6,1265.72,1265.28,1265.69,1266.37,1264.81,1264.96
25/10/2016 06:30,1264.99,1265.6,1264.72,1265.6,1266.36,1264.75,1264.95
25/10/2016 06:00,1265.02,1265.4,1264.88,1264.99,1266.34,1264.7,1264.94
25/10/2016 05:30,1264.5,1265.3,1264.5,1265.02,1266.33,1264.67,1264.94
25/10/2016 05:00,1264.93,1265.06,1263.31,1264.5,1266.32,1264.66,1264.94
25/10/2016 04:30,1264.45,1265.37,1264.19,1264.93,1266.31,1264.64,1264.96
25/10/2016 04:00,1262.96,1264.87,1262.96,1264.45,1266.3,1264.67,1264.98
25/10/2016 03:30,1262.96,1262.97,1262.12,1262.96,1266.29,1264.72,1264.99
25/10/2016 03:00,1263.57,1264.09,1262.56,1262.96,1266.28,1264.79,1265.02
25/10/2016 02:30,1264.06,1264.4,1262.88,1263.57,1266.28,1264.86,1265.05
25/10/2016 02:00,1264.51,1264.8,1264.05,1264.07,1266.28,1264.91,1265.07
25/10/2016 01:30,1263.99,1264.71,1263.93,1264.51,1266.27,1264.95,1265.09
25/10/2016 01:00,1264.95,1265.39,1263.84,1263.99,1266.25,1264.99,1265.11
25/10/2016 00:30,1264.4,1264.93,1264.4,1264.93,1266.24,1265.05,1265.13
25/10/2016 00:00,1264.44,1264.58,1264.44,1264.45,1266.23,1265.09,1265.15
24/10/2016 23:30,1264.17,1264.82,1264.13,1264.44,1266.22,1265.15,1265.17
24/10/2016 23:00,1264.42,1264.55,1264.05,1264.16,1266.22,1265.21,1265.19
24/10/2016 22:30,1264.01,1264.54,1263.97,1264.43,1266.2,1265.27,1265.22
24/10/2016 22:00,1263.94,1264.25,1263.8,1264.01,1266.18,1265.33,1265.24
24/10/2016 21:30,1263.15,1264.09,1263.15,1263.94,1266.16,1265.39,1265.26
24/10/2016 21:00,1262.93,1263.41,1262.76,1263.15,1266.13,1265.43,1265.29
24/10/2016 20:30,1263.23,1263.39,1262.84,1262.93,1266.11,1265.47,1265.32
24/10/2016 20:00,1263.7,1263.95,1262.84,1263.23,1266.09,1265.49,1265.36
24/10/2016 19:30,1262.33,1263.76,1262.31,1263.71,1266.07,1265.55,1265.38
